332.8,912.4,1344.8,0.1251,0.1251,0.1251
314.8,929.6,1494.2,0.037,0.037,0.037
321.9,871.3,1344.8,0.0554,0.0554,0.0554
351,794.1,1446.4,0.0385,0.0385,0.0385
245.4,771.3,1369,0.0436,0.0436,0.0436
312.4,863.9,1344.8,0.0426,0.0426,0.0426
247,852.7,1344.8,0.0494,0.0494,0.0494
224,698.1,1277.4,0.0651,0.0651,0.0651
285.1,869,1449.9,0.0486,0.0486,0.0486
294.7,799.4,1441.6,0.041,0.041,0.041
253.7,799.4,1612.2,0.0364,0.0364,0.0364
316.8,1046.8,1368.7,0.0536,0.0536,0.0536
236.1,721.4,1368.7,0.0522,0.0522,0.0522
267.4,799.4,1441.6,0.0543,0.0543,0.0543
445.4,887.3,1745.3,0.0416,0.0416,0.0416
295.8,1072.1,1743.4,0.0421,0.0421,0.0421
266.4,943.7,1344.8,0.079,0.079,0.079
252.6,888.1,1368.7,0.0967,0.0967,0.0967
281.8,852.7,1344.8,0.0477,0.0477,0.0477
237.2,917.1,1368.7,0.0541,0.0541,0.0541
224.7,846.6,1368.7,0.0376,0.0376,0.0376
256.6,936.5,1441.6,0.0556,0.0556,0.0556
310.4,914,1452.4,0.0713,0.0713,0.0713
253.1,831.6,1462.6,0.0645,0.0645,0.0645
455,885,1348.2,0.0561,0.0561,0.0561
305.8,892.6,1368.7,0.0515,0.0515,0.0515
287.2,930.2,1368.7,0.0573,0.0573,0.0573
329.5,922.2,1494.2,0.0591,0.0591,0.0591
264,799.4,1441.6,0.0494,0.0494,0.0494
343.4,905.5,1494.2,0.0713,0.0713,0.0713
275.2,892.6,1368.7,0.0823,0.0823,0.0823
278.4,799.4,1635.4,0.0443,0.0443,0.0443
279.9,846.3,1494.2,0.0903,0.0903,0.0903
321.6,794.1,1400.3,0.0383,0.0383,0.0383
