1167,1697,2946.332139,455.1395584,1139.345474,1870.948192,332.7599657,912.3576687,1344.801059,0.1251,0.1251,0.1251,1167,1697,2946.332139,569.0428435,1270.686568,2016.354779,402.7,1013.3,1386.3,0.154965,0.154965,0.154965
1061,1755,3541.206953,420.4812174,1171.251642,2179.83355,314.8120624,929.6128172,1494.220164,0.037,0.037,0.037,1061,1755,3541.206953,525.5368971,1306.348954,2349.753355,380.9,1032.5,1540.4,0.037024,0.0461945,0.059306
1103,1559,2946.332139,434.2137676,1063.430797,1870.948192,321.9234958,871.3023153,1344.801059,0.0554,0.0554,0.0554,1103,1559,2946.332139,542.7751023,1185.834684,2016.354779,389.5,967.6,1386.3,0.0802568,0.0660321,0.0802568
1275,1299.341706,3350.704781,490.4518304,920.5911192,2080.916382,351.0465086,794.053308,1446.370325,0.0385,0.0385,0.0385,1275,1299.341706,3350.704781,613.3696567,1026.17892,2242.986096,424.9,881.6,1491.1,0.0603413,0.047187975,0.0603413
651,1223,3042.818866,286.4253701,878.5950616,1921.048375,245.3909272,771.341455,1369.036344,0.0436,0.0436,0.0436,651,1223,3042.818865,357.2591801,979.2387932,2070.430924,296.5,856.3,1411.3,0.0436,0.0436,0.066255
1047,1534,2946.332139,415.9037007,1049.678138,1870.948192,312.4415846,863.8647513,1344.801059,0.0426,0.0426,0.0426,1047,1534,2946.332139,519.7908287,1170.462966,2016.354779,378,959.3,1386.3,0.05222425,0.05222425,0.065589
660.6404874,1496.342367,2946.332139,289.5774767,1028.962435,1870.948192,247.023253,852.661509,1344.801059,0.0494,0.0494,0.0494,660.6404874,1496.342367,2946.332139,361.2159586,1147.308465,2016.354779,298.5,946.8,1386.3,0.0733254,0.0733254,0.0733254
524.6262699,976.8923051,2677.952685,245.1055226,743.2096547,1731.593689,223.9933472,698.1237856,1277.390208,0.0651,0.0651,0.0651,524.6262699,976.8923051,2677.952685,305.3911733,827.9148691,1865.941068,270.6,774.8,1316.8,0.075236125,0.076404,0.089514
885.7231926,1551.206487,3364.854127,363.1717517,1059.143536,2088.263349,285.1342211,868.9837252,1449.924321,0.0486,0.0486,0.0486,885.7231926,1551.206487,3364.854127,453.5974313,1181.042697,2250.916121,344.8,965,1494.7,0.062187195,0.056039368,0.070285336
942,1317.2476,3331.654564,381.5723251,930.4412653,2071.024665,294.6630012,799.3803573,1441.585341,0.041,0.041,0.041,942,1317.2476,3331.654563,476.6953158,1037.188695,2232.30937,356.4,887.5,1486.1,0.050893426,0.040986701,0.064203901
700,1317.2476,4010.834484,302.4466787,930.4412653,2423.68497,253.6875995,799.3803573,1612.179983,0.0364,0.0364,0.0364,700,1317.2476,4010.834484,377.3704194,1037.188695,2612.956883,306.6,887.5,1662.1,0.036408,0.036408,0.0461945
1073,2149,3041.583226,424.4048032,1387.993546,1920.406776,316.8439005,1046.828826,1368.725979,0.0536,0.0536,0.0536,1073,2149,3041.583225,530.4620986,1548.607231,2069.738408,383.3,1162.9,1411,0.076909063,0.076909063,0.076909063
596,1055,3041.583226,268.4422686,786.177194,1920.406776,236.0783359,721.3610248,1368.725979,0.0522,0.0522,0.0522,596,1055,3041.583225,334.68534,875.9408477,2069.738408,285.2,800.7,1411,0.0621395,0.0621395,0.076016
781,1317.2476,3331.654564,328.9308827,930.4412653,2071.024665,267.4025067,799.3803573,1441.585341,0.0543,0.0543,0.0543,781,1317.2476,3331.654563,410.6155294,1037.188695,2232.30937,323.3,887.5,1486.1,0.0542904,0.0646616,0.0784928
1832,1612.69485,4540.813569,672.5716034,1092.968675,2698.87359,445.3576606,887.2766706,1745.298748,0.0416,0.0416,0.0416,1832,1612.69485,4540.813569,841.9810918,1218.849968,2909.98454,539.4,985.4,1799.4,0.041640279,0.064429571,0.064429571
