274.4,865.7,1611.9,0.1251,0.1251,0.1251
274.2,866.2,1613.8,0.037,0.037,0.037
274.3,866,1611.9,0.0554,0.0554,0.0554
274.7,864.9,1613.2,0.0385,0.0385,0.0385
273.3,864.6,1612.2,0.0436,0.0436,0.0436
274.2,865.7,1611.9,0.0426,0.0426,0.0426
273.3,865.7,1611.9,0.0494,0.0494,0.0494
273,863.6,1611,0.0651,0.0651,0.0651
273.7,865.1,1613.3,0.0486,0.0486,0.0486
273.9,865,1613.2,0.041,0.041,0.041
273.4,865,1615.4,0.0364,0.0364,0.0364
274.2,866.2,1612.2,0.0536,0.0536,0.0536
273.2,864,1612.2,0.0522,0.0522,0.0522
273.6,865,1613.2,0.0543,0.0543,0.0543
275.9,866.2,1617.2,0.0416,0.0416,0.0416
273.9,866.2,1617.1,0.0421,0.0421,0.0421
273.3,865.7,1611.9,0.079,0.079,0.079
273.2,866.3,1612.2,0.0967,0.0967,0.0967
273.8,865.7,1611.9,0.0477,0.0477,0.0477
273.2,866.3,1612.2,0.0541,0.0541,0.0541
273,866.2,1612.2,0.0376,0.0376,0.0376
273.9,865,1613.2,0.0556,0.0556,0.0556
273.5,866.2,1613.3,0.0713,0.0713,0.0713
273.4,865.5,1613.4,0.0645,0.0645,0.0645
276,866.2,1376.5,0.0561,0.0561,0.0561
274.1,866.3,1612.2,0.0515,0.0515,0.0515
273,866.2,1612.2,0.0573,0.0573,0.0573
274.4,866.2,1613.8,0.0591,0.0591,0.0591
273.5,865,1613.2,0.0494,0.0494,0.0494
273.4,866.2,1613.8,0.0713,0.0713,0.0713
273.7,866.3,1612.2,0.0823,0.0823,0.0823
273.1,865,1694.2,0.0443,0.0443,0.0443
273.7,866.2,1613.8,0.0903,0.0903,0.0903
274.3,864.9,1534.1,0.0383,0.0383,0.0383
