274.4,865.7,1611.9,0.155,0.155,0.155
274.2,866.2,1613.8,0.037,0.0462,0.0593
274.3,866,1611.9,0.0803,0.066,0.0803
274.7,864.9,1613.2,0.0603,0.0472,0.0603
273.3,864.6,1612.2,0.0436,0.0436,0.0663
274.2,865.7,1611.9,0.0522,0.0522,0.0656
273.3,865.7,1611.9,0.0733,0.0733,0.0733
273,863.6,1611,0.0752,0.0764,0.0895
273.7,865.1,1613.3,0.0622,0.056,0.0703
273.9,865,1613.2,0.0509,0.041,0.0642
273.4,865,1615.4,0.0364,0.0364,0.0462
274.2,866.2,1612.2,0.0769,0.0769,0.0769
273.2,864,1612.2,0.0621,0.0621,0.076
273.6,865,1613.2,0.0543,0.0647,0.0785
275.9,866.2,1617.2,0.0416,0.0644,0.0644
273.9,866.2,1617.1,0.0514,0.0647,0.0647
273.3,865.7,1611.9,0.0977,0.0969,0.1056
273.2,866.3,1612.2,0.1162,0.1213,0.1226
273.8,865.7,1611.9,0.0714,0.0577,0.0714
273.2,866.3,1612.2,0.0778,0.0541,0.0778
273,866.2,1612.2,0.0599,0.0468,0.0599
273.9,865,1613.2,0.0797,0.0556,0.0797
273.5,866.2,1613.3,0.0964,0.0964,0.0964
273.4,865.5,1613.4,0.0809,0.0846,0.0887
276,866.2,1376.5,0.0801,0.0801,0.0801
274.1,866.3,1612.2,0.0792,0.0792,0.0792
273,866.2,1612.2,0.0787,0.081,0.081
274.4,866.2,1613.8,0.0688,0.083,0.083
273.5,865,1613.2,0.0733,0.0494,0.0733
273.4,866.2,1613.8,0.0837,0.0907,0.0964
273.7,866.3,1612.2,0.0922,0.0922,0.1069
273.1,865,1694.2,0.0443,0.0443,0.0443
273.7,866.2,1613.8,0.1163,0.1163,0.1163
274.3,864.9,1534.1,0.0602,0.047,0.0602
